id,name
11754,SPL
20814,ABGames89
25136,MoFunZone Inc
14923,Stranded Sail
14988,Expression Studios
20307,bluffman
14992,Fazz Brothers
24007,minor gods
24014,RG Crew
18065,Wolfman & Mouse Studios
43240,MrTheKunzer
43241,Lorenzo
10333,"Proletariat, Inc."
17497,Calexico
25343,Hexany Audio
21636,Dominik Schön
30639,Project 172
43808,Ideal Multimidia
24219,Julien Lallevé
17247,LLC
7193,Gonzo Games
46403,Jurax Games
20412,X Plus
20278,Skydsgaard
17550,veewo
44424,Foxy Boxy Games
24597,paulstephendavis
55291,Gritty Games
21609,Guzyware
21613,Restless Corp
44641,MercuryBD
35710,Made by Feather
38747,Desert Beagle
49839,Master S
20867,maJAJa
22893,UsedStar
13937,The One (EMAP)
22145,Dempasoft
16013,MezmeroMania
8053,(Archive) Gaming Minds - duplicate
44142,MeteorA
24205,Adanac Command Studies
24218,Fred Bednarski
41987,Tbjbu2
21306,Giovanni Altrui
49827,Dwarf Bulbear
20322,Neofuturism
8350,Icarus Games
20397,Universal Music Corp. (ASCAP)
20389,Syndicate Sound Studio
22563,First Watch Games
19954,crazy creations
3176,Creative
21296,Naddic Games
20280,SomeFarang
42415,Hot and Cold Studios
20423,InstCoffee
17536,ZiMAD
20424,Dreamsky Games
20434,Julia Minamata
15441,DearSky
44474,Jacqueline
14539,Black & White Studios
53559,Knitting Games
21607,Lucid Labs
38645,EyesbergGame
33715,Mesote Games
25721,ColinC10
14850,Jaydeb
37903,SOFTEDGE
40924,Benox50
28939,voodoosoft
14940,Ktulhu Solutions
23942,Fredaikis AB
22985,The Armchair Travel Company
16011,Bun & Birb
15014,Sweet Justice Sound
43243,Fishdog Games
43246,Wouter van Oortmerssen
54703,ZeroMaze
15706,Dreamon Studios
31973,Josep Monzonis Hernandez
14817,Scarecrow Studio Limited
17532,Lonely Few LLC
14540,Creative GameCODA
44093,Beautiful Void Studio
21779,SquareDev
14840,Dakko Dakko
15916,Risin' Goat
23803,Y Press Games
20953,Rendercube
19194,Shape Games
45312,Torgus Interactive
631,Zonic Limited
24100,Deimos Interactive
14542,A‑Film
15451,NSquare
17544,Set Snail
22568,Vast Studios
14625,Elastic
